127.0.0.1 - - [21/Feb/2020:09:46:24 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:25 +0900] "GET /kim_client/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:25 +0900] "GET /kim_client/board/list.html HTTP/1.1" 200 10691
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:25 +0900] "GET /kim_client/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:26 +0900] "GET /kim_client/script/main.js?ver1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:26 +0900] "GET /kim_client/include/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:26 +0900] "GET /kim_client/include/aside.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:26 +0900] "GET /kim_client/include/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:26 +0900] "GET /kim_client/include/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:26 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/board/list.html HTTP/1.1" 200 10691
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/css/main.css HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/script/main.js?ver1 HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/include/header.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/include/aside.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/include/footer.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:46:36 +0900] "GET /kim_client/include/nav.html HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:52:22 +0900] "GET /kim_client/board/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2020:09:52:29 +0900] "GET /kim_client/board/write.html HTTP/1.1" 200 145
